sensor,fracNoisy,fracMasked,totalFracMasked,fracReconstructed,nTracksTotal,nTracksReconstructed
VP0-0,0.00382487,0.055582682,0.059407552,0.963486455,849,818
VP0-1,0.001607259,0.018834432,0.020441691,0.969411765,850,824
VP0-2,0.002492269,0.023732503,0.026224772,0.967058824,850,822
VP1-0,0.002385457,0.013702393,0.01608785,0.970588235,850,825
VP1-1,0.003555298,0.029078166,0.032633464,0.965882353,850,821
VP1-2,0.002797445,0.018274943,0.021072388,0.969411765,850,824
VP2-0,0.003448486,0.034306844,0.03775533,0.967020024,849,821
VP2-1,0.003519694,0.030710856,0.03423055,0.965882353,850,821
VP2-2,0.008641561,0.060506185,0.069147746,0.962264151,848,816
VP3-0,0.003687541,0.052820841,0.056508382,0.962308598,849,817
VP3-1,0.003631592,0.04679362,0.050425212,0.964664311,849,819
VP3-2,0.003204346,0.033370972,0.036575318,0.967058824,850,822
