sensor,fracNoisy,fracMasked,fracReconstructed,nTracksTotal,nTracksReconstructed
VP0-0,0.00382487,0,0.445882353,850,379
VP0-1,0.001607259,0,0.768235294,850,653
VP0-2,0.002492269,0,0.605882353,850,515
VP1-0,0.002385457,0,0.618823529,850,526
VP1-1,0.003555298,0,0.487058824,850,414
VP1-2,0.002797445,0,0.612941176,850,521
VP2-0,0.003448486,0,0.508235294,850,432
VP2-1,0.003519694,0,0.503529412,850,428
VP2-2,0.008641561,0,0,850,0
VP3-0,0.003687541,0,0.477647059,850,406
VP3-1,0.003631592,0,0.488235294,850,415
VP3-2,0.003204346,0,0.5,850,425
